timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2016-01-24T00:00:00.000Z";"2016-01-24T23:59:59.999Z";"2016-01-24T20:19:19.000Z";"2016-01-24T00:34:23.000Z";"2781";388.1019897461;405.4849853516;387.5100097656;402.9710083008;54824800;6093787907.65;"2016-01-24T23:59:59.999Z"
"2016-01-23T00:00:00.000Z";"2016-01-23T23:59:59.999Z";"2016-01-23T05:39:19.000Z";"2016-01-23T13:14:17.000Z";"2781";382.4339904785;394.5429992676;381.9809875488;387.4909973145;56247400;5858059876.18;"2016-01-23T23:59:59.999Z"
"2016-01-22T00:00:00.000Z";"2016-01-22T23:59:59.999Z";"2016-01-22T00:19:20.000Z";"2016-01-22T20:24:20.000Z";"2781";409.7510070801;410.4100036621;375.2820129395;382.4920043945;91546600;5780764155.1;"2016-01-22T23:59:59.999Z"
"2016-01-21T00:00:00.000Z";"2016-01-21T23:59:59.999Z";"2016-01-21T01:29:18.000Z";"2016-01-21T17:04:18.000Z";"2781";419.6319885254;422.8770141602;406.299987793;410.2619934082;68338000;6198658814.55;"2016-01-21T23:59:59.999Z"
"2016-01-20T00:00:00.000Z";"2016-01-20T23:59:59.999Z";"2016-01-20T23:19:19.000Z";"2016-01-20T00:34:19.000Z";"2781";379.7399902344;425.266998291;376.5989990234;420.2300109863;121720000;6347836793.75;"2016-01-20T23:59:59.999Z"
"2016-01-19T00:00:00.000Z";"2016-01-19T23:59:59.999Z";"2016-01-19T13:44:19.000Z";"2016-01-19T19:34:16.000Z";"2781";387.0260009766;387.7300109863;378.9719848633;380.1489868164;46819800;5740934168.2;"2016-01-19T23:59:59.999Z"
"2016-01-18T00:00:00.000Z";"2016-01-18T23:59:59.999Z";"2016-01-18T14:04:18.000Z";"2016-01-18T07:59:17.000Z";"2781";381.733001709;388.1040039063;376.6650085449;387.1679992676;54403900;5845656048;"2016-01-18T23:59:59.999Z"
"2016-01-17T00:00:00.000Z";"2016-01-17T23:59:59.999Z";"2016-01-17T00:59:18.000Z";"2016-01-17T07:19:17.000Z";"2781";387.1520080566;390.9649963379;380.092010498;382.2990112305;45319600;5770478450.85;"2016-01-17T23:59:59.999Z"
"2016-01-16T00:00:00.000Z";"2016-01-16T23:59:59.999Z";"2016-01-16T23:49:17.000Z";"2016-01-16T08:04:18.000Z";"2781";365.0729980469;390.5570068359;354.9140014648;387.5360107422;120352000;5848063566;"2016-01-16T23:59:59.999Z"
"2016-01-15T00:00:00.000Z";"2016-01-15T23:59:59.999Z";"2016-01-15T00:04:17.000Z";"2016-01-15T23:59:19.000Z";"2781";430.2550048828;430.2550048828;364.3309936523;364.3309936523;153351008;5496598039.07;"2016-01-15T23:59:59.999Z"
"2016-01-14T00:00:00.000Z";"2016-01-14T23:59:59.999Z";"2016-01-14T03:04:26.000Z";"2016-01-14T10:39:18.000Z";"2781";432.2879943848;433.324005127;427.8450012207;430.3059997559;43945500;6490638885.15;"2016-01-14T23:59:59.999Z"
"2016-01-13T00:00:00.000Z";"2016-01-13T23:59:59.999Z";"2016-01-13T00:29:19.000Z";"2016-01-13T00:59:17.000Z";"2781";434.6650085449;435.1860046387;424.4429931641;432.3710021973;173888000;6520360056.22;"2016-01-13T23:59:59.999Z"
"2016-01-12T00:00:00.000Z";"2016-01-12T23:59:59.999Z";"2016-01-12T00:04:18.000Z";"2016-01-12T23:59:18.000Z";"2781";448.1820068359;448.1820068359;435.6900024414;435.6900024414;115607000;6568800099.75;"2016-01-12T23:59:59.999Z"
"2016-01-11T00:00:00.000Z";"2016-01-11T23:59:59.999Z";"2016-01-11T03:14:18.000Z";"2016-01-11T07:19:19.000Z";"2781";448.6979980469;450.6619873047;443.8550109863;448.4280090332;40450000;6758931030;"2016-01-11T23:59:59.999Z"
"2016-01-10T00:00:00.000Z";"2016-01-10T23:59:59.999Z";"2016-01-10T00:19:20.000Z";"2016-01-10T12:39:16.000Z";"2781";448.2380065918;448.3089904785;440.3510131836;447.9909973145;35995900;6750440385.75;"2016-01-10T23:59:59.999Z"
"2016-01-09T00:00:00.000Z";"2016-01-09T23:59:59.999Z";"2016-01-09T01:19:17.000Z";"2016-01-09T15:04:19.000Z";"2781";453.3829956055;454.6400146484;446.8890075684;447.6109924316;32278000;6742767342.9;"2016-01-09T23:59:59.999Z"
"2016-01-08T00:00:00.000Z";"2016-01-08T23:59:59.999Z";"2016-01-08T01:29:27.000Z";"2016-01-08T18:19:17.000Z";"2781";457.5379943848;462.9339904785;447.9379882813;453.2300109863;56993000;6825700453.75;"2016-01-08T23:59:59.999Z"
"2016-01-07T00:00:00.000Z";"2016-01-07T23:59:59.999Z";"2016-01-07T23:49:18.000Z";"2016-01-07T02:09:18.000Z";"2781";430.0109863281;458.7659912109;429.0769958496;458.0480041504;87562200;6896279078.4;"2016-01-07T23:59:59.999Z"
"2016-01-06T00:00:00.000Z";"2016-01-06T23:59:59.999Z";"2016-01-06T00:04:18.000Z";"2016-01-06T03:54:17.000Z";"2781";431.8559875488;431.8559875488;426.341003418;429.1050109863;34042500;6458942098.12;"2016-01-06T23:59:59.999Z"
"2016-01-05T00:00:00.000Z";"2016-01-05T23:59:59.999Z";"2016-01-05T02:34:22.000Z";"2016-01-05T13:09:22.000Z";"2781";433.0690002441;434.1820068359;429.675994873;431.9599914551;34522600;6500393256;"2016-01-05T23:59:59.999Z"
"2016-01-04T00:00:00.000Z";"2016-01-04T23:59:59.999Z";"2016-01-04T15:39:21.000Z";"2016-01-04T01:04:23.000Z";"2781";430.0610046387;434.516998291;429.0840148926;433.091003418;38477500;6515713340.43;"2016-01-04T23:59:59.999Z"
"2016-01-03T00:00:00.000Z";"2016-01-03T23:59:59.999Z";"2016-01-03T00:14:20.000Z";"2016-01-03T20:04:23.000Z";"2781";433.5780029297;433.7430114746;424.7059936523;430.0109863281;39633800;6467429941.65;"2016-01-03T23:59:59.999Z"
"2016-01-02T00:00:00.000Z";"2016-01-02T23:59:59.999Z";"2016-01-02T00:44:22.000Z";"2016-01-02T13:54:20.000Z";"2781";434.6220092773;436.0620117188;431.8699951172;433.4379882813;30096600;6517390487;"2016-01-02T23:59:59.999Z"
"2016-01-01T00:00:00.000Z";"2016-01-01T23:59:59.999Z";"2016-01-01T04:29:22.000Z";"2016-01-01T13:59:21.000Z";"2781";430.7210083008;436.2460021973;427.5150146484;434.3340148926;36278900;6529299588.6;"2016-01-01T23:59:59.999Z"
"2015-12-31T00:00:00.000Z";"2015-12-31T23:59:59.999Z";"2015-12-31T21:24:20.000Z";"2015-12-31T06:04:22.000Z";"2781";425.875;432.9209899902;418.7349853516;430.566986084;45996600;6471217490.68;"2015-12-31T23:59:59.999Z"
"2015-12-30T00:00:00.000Z";"2015-12-30T23:59:59.999Z";"2015-12-30T01:59:21.000Z";"2015-12-30T13:54:23.000Z";"2781";433.299987793;434.3869934082;422.0840148926;426.6199951172;46889400;6410381454.5;"2015-12-30T23:59:59.999Z"
"2015-12-29T00:00:00.000Z";"2015-12-29T23:59:59.999Z";"2015-12-29T23:59:23.000Z";"2015-12-29T08:44:39.000Z";"2781";422.0979919434;432.983001709;420.6270141602;432.983001709;51596500;6504194853.98;"2015-12-29T23:59:59.999Z"
"2015-12-28T00:00:00.000Z";"2015-12-28T23:59:59.999Z";"2015-12-28T02:49:20.000Z";"2015-12-28T20:54:20.000Z";"2781";423.3429870605;429.7690124512;418.4809875488;422.2789916992;49638600;6341733237.12;"2015-12-28T23:59:59.999Z"
